full_key,namespace,key,source_en,target_it
/Ailment_Burn,,Ailment_Burn,Burn,Ustione
/Ailment_Chilled,,Ailment_Chilled,Freeze Threshold,Soglia di congelamento
/Ailment_Poison,,Ailment_Poison,Poison,Veleno
/Alchemy_Efficiency,,Alchemy_Efficiency,Alchemy Skill,Abilità alchemica
/Alchemy_Efficiency_Coating,,Alchemy_Efficiency_Coating,Efficiency of applied Coatings,Efficacia degli unguenti applicati
/Alchemy_Efficiency_Consumables,,Alchemy_Efficiency_Consumables,Efficiency of Consumables ,Efficacia dei consumabili
/Alchemy_Efficiency_Potions,,Alchemy_Efficiency_Potions,Efficiency of Potions,Efficacia delle pozioni
/Armor,,Armor,Armor,Armatura
/Armor_Magic,,Armor_Magic,Magic Armor,Armatura magica
/AttackCosts,,AttackCosts,Attack Costs,Costi di attacco
/AttackCosts_Heavy,,AttackCosts_Heavy,Heavy Attack Costs,Costo attacco pesante
/AttackCosts_Light,,AttackCosts_Light,Light Attack Costs,Costo attacco leggero
/Block_MaxAngle,,Block_MaxAngle,Block Max Angle,Angolo massimo di parata
/Block_Perfect_DamageMult,,Block_Perfect_DamageMult,Perfect Block Damage,Danno da parata perfetta
/Block_Perfect_Time,,Block_Perfect_Time,Perfect Block Window,Finestra di parata perfetta
/Block_Reduction_Health,,Block_Reduction_Health,Block Health Reduction,Riduzione danno in parata
/Block_Reduction_Poise,,Block_Reduction_Poise,Block Poise Reduction,Riduzione consumo equilibrio in parata
/Button_Apply,,Button_Apply,Apply,Applica
/Button_Cancel,,Button_Cancel,Cancel,Annulla
/Button_Confirm,,Button_Confirm,Confirm,Conferma
/Button_Ignore,,Button_Ignore,Ignore,Ignora
/CharacterLevel,,CharacterLevel,Level,Livello
/CharacterStats,,CharacterStats,Character Stats,Statistiche del personaggio
/Costs,,Costs,Costs,Costi
/Costs_Redirect_ManaToHealth,,Costs_Redirect_ManaToHealth,of Mana Costs are consumed as Health,dei costi di Mana consumati come Salute
/Costs_Spell,,Costs_Spell,Spell Costs,Costi degli incantesimi
/CritChance,,CritChance,Crit Chance,Probabilità di critico
/CritMultiplier,,CritMultiplier,Crit Multiplier,Moltiplicatore critico
/DamageType,,DamageType,Damage Type,Tipo di danno
/Damage_Acid,,Damage_Acid,Acid Damage,Danno da acido
/Damage_Additive,,Damage_Additive,Damage,Danno
/Damage_Blood,,Damage_Blood,Bleed Damage,Danno da sanguinamento
/Damage_Destructible_Health,,Damage_Destructible_Health,Destructible Health Damage,Danno alla salute degli oggetti distruttibili
/Damage_Destructible_Poise,,Damage_Destructible_Poise,Destructible Poise Damage,Danno all'equilibrio degli oggetti distruttibili
/Damage_Elemental,,Damage_Elemental,Elemental Damage,Danno elementale
/Damage_Fire,,Damage_Fire,Fire Damage,Danno da fuoco
/Damage_Ice,,Damage_Ice,Ice Damage,Danno da ghiaccio
/Damage_Lightning,,Damage_Lightning,Lightning Damage,Danno da fulmine
/Damage_Multiply,,Damage_Multiply,Damage,Danno
/Damage_Physical,,Damage_Physical,Physical Damage,Danno fisico
/Damage_Poison,,Damage_Poison,Poison Damage,Danno da veleno
/Damage_Venom,,Damage_Venom,Venom Damage,Danno da tossina
/Damage_Wind,,Damage_Wind,Wind Damage,Danno da vento
/DashCosts,,DashCosts,Dash Costs,Costi di scatto
/Delete_SaveGame_Body,,Delete_SaveGame_Body,Do you want to delete this save?,Vuoi eliminare questo salvataggio?
/Delete_SaveGame_Header,,Delete_SaveGame_Header,Delete Save,Elimina salvataggio
/DismemberChanceOnKill,,DismemberChanceOnKill,Dismember Chance,Probabilità di smembramento
/EarlyAcces_Smithy_Body,,EarlyAcces_Smithy_Body,The smithy will be unlocked later during early access.,La fucina verrà sbloccata successivamente durante l'accesso anticipato.
/EarlyAccess_Generic_Body,,EarlyAccess_Generic_Body,This feature will be available at a later stage of early access.,Questa funzionalità sarà disponibile in una fase successiva dell'accesso anticipato.
/EarlyAccess_Generic_Header,,EarlyAccess_Generic_Header,Early Access Object,Oggetto in Accesso Anticipato
/EarlyAccess_Smithy_Header,,EarlyAccess_Smithy_Header,Early Access - Smithy,Accesso Anticipato - Fucina
/ExperiencePoints,,ExperiencePoints,Experience Points,Punti esperienza
/ExperiencePoints_Short,,ExperiencePoints_Short,XP,PE
/Health,,Health,Health,Salute
/HealthCurrent,,HealthCurrent,Current Health,Salute attuale
/HealthMax,,HealthMax,Max Health,Salute massima
/HealthReg,,HealthReg,Health Regeneration,Rigenerazione salute
/HitsTaken,,HitsTaken,Hits Taken,Colpi subiti
/Leech_Life,,Leech_Life,Life Leech,Furto vitale
/Leech_Mana,,Leech_Mana,Mana Leech,Furto di mana
/Load_SaveGame_Body,,Load_SaveGame_Body,Do you want to load this save?,Vuoi caricare questo salvataggio?
/Load_SaveGame_Header,,Load_SaveGame_Header,Load Game,Carica salvataggio
/MagicDamag,,MagicDamag,Magic Damage,Danno magico
/MagicDamage_Fire,,MagicDamage_Fire,Fire Damage,Danno magico da fuoco
/Mana,,Mana,Mana,Mana
/ManaCurrent,,ManaCurrent,Current Mana,Mana attuale
/ManaMax,,ManaMax,Max Mana,Mana massimo
/ManaReg,,ManaReg,Mana Regeneration,Rigenerazione mana
/NewGame_Start_Body,,NewGame_Start_Body,"Do you want to start a new game?
This will overwrite your oldest Autosave.",Vuoi iniziare una nuova partita?\nQuesto sovrascriverà il salvataggio automatico più vecchio.
/NewGame_Start_Header,,NewGame_Start_Header,Start New Game,Inizia nuova partita
/Overwrite_SaveGame_Body,,Overwrite_SaveGame_Body,Do you want to overwrite the existing save?,Vuoi sovrascrivere il salvataggio esistente?
/Overwrite_SaveGame_Header,,Overwrite_SaveGame_Header,Save Game,Salva partita
/Parry_Toggle_AOE,,Parry_Toggle_AOE,Parry AOE,Parata ad area
/Parry_Toggle_CanBlock,,Parry_Toggle_CanBlock,Parry Can Block,La parata può bloccare
/Parry_Toggle_Ranged_Magic,,Parry_Toggle_Ranged_Magic,Parry Ranged Magic,Parata magie a distanza
/Parry_Toggle_Ranged_Physical,,Parry_Toggle_Ranged_Physical,Parry Ranged Physical,Parata attacchi fisici a distanza
/PendingChoices_Header,,PendingChoices_Header,Discard Pending Choices,Annulla modifiche in sospeso
/PendingChoices_SkillTree_Body,,PendingChoices_SkillTree_Body,"There are still pending choices.
Discard them?",Ci sono modifiche in sospeso.\nVuoi annullarle?
/PhysicalDamage,,PhysicalDamage,Physical Damage,Danno fisico
/PhysicalDamage_Blunt,,PhysicalDamage_Blunt,Blunt Damage,Danno contundente
/PhysicalDamage_Pierce,,PhysicalDamage_Pierce,Pierce Damage,Danno da perforazione
/PhysicalDamage_Slash,,PhysicalDamage_Slash,Slash Damage,Danno da taglio
/Poise,,Poise,Poise,Equilibrio
/PoiseCurrent,,PoiseCurrent,Current Poise,Equilibrio attuale
/PoiseMax,,PoiseMax,Max Poise,Equilibrio massimo
/PoiseReg,,PoiseReg,Poise Regeneration,Rigenerazione equilibrio
/Projectile_Chain_Count,,Projectile_Chain_Count,Chain Count,Numero di rimbalzi a catena
/Projectile_Chain_Strength,,Projectile_Chain_Strength,Chain,Potenza concatenazione
/Projectile_Count,,Projectile_Count,Projectile Count,Numero di proiettili
/Projectile_Ricochet_Strentgth,,Projectile_Ricochet_Strentgth,Ricochet,Rimbalzo
/QuitGameToDesktop_Body,,QuitGameToDesktop_Body,Do you want to quit the game to desktop?,Vuoi uscire dal gioco e tornare al desktop?
/QuitToMainMenu_Body,,QuitToMainMenu_Body,"Do you want to quit to the main menu?
All unsaved progress will be lost.",Vuoi uscire e tornare al menu principale?\nTutti i progressi non salvati andranno persi.
/QuitToMainMenu_Header,,QuitToMainMenu_Header,Quit?,Uscire?
/Regeneration_AfterStagger,,Regeneration_AfterStagger,Regeneration After Stagger,Rigenerazione dopo barcollamento
/Regeneration_CombatMult,,Regeneration_CombatMult,Combat Regeneration Multiplier,Moltiplicatore rigenerazione in combattimento
/Regeneration_Delay,,Regeneration_Delay,Regeneration Delay,Ritardo rigenerazione
/ResBlunt,,ResBlunt,Blunt  Resistance,Resistenza al danno contundente
/ResElemental,,ResElemental,Elemental Resistance,Resistenza elementale
/ResFire,,ResFire,Fire Resistance,Resistenza al fuoco
/ResIce,,ResIce,Ice Resistance,Resistenza al ghiaccio
/ResLightning,,ResLightning,Lightning Resistance,Resistenza al fulmine
/ResMagic,,ResMagic,Magic Resistance,Resistenza alla magia
/ResPhys,,ResPhys,Physical Resistance,Resistenza fisica
/ResPierce,,ResPierce,Pierce Resistance,Resistenza alla perforazione
/ResPoison,,ResPoison,Poison Resistance,Resistenza al veleno
/ResSlash,,ResSlash,Slash Resistance,Resistenza al taglio
/ResWind,,ResWind,Wind Resistance,Resistenza al vento
/ResetSkillTree_Body,,ResetSkillTree_Body,"You are about to reset your Skill Tree?
Confirming will discard pending choices.","Stai per azzerare l'Albero delle abilità.\nConfermando, le scelte in sospeso andranno perse."
/ResetSkillTree_Header,,ResetSkillTree_Header,Reset Skill Tree,Azzera albero delle abilità
/Resistance,,Resistance,All Resistances,Tutte le resistenze
/Save_SkillTree_Body,,Save_SkillTree_Body,Save pending choices?,Salvare le modifiche in sospeso?
/Save_SkillTree_Header,,Save_SkillTree_Header,Save Pending Choices,Salva modifiche in sospeso
/Scaling_ComboDamage,,Scaling_ComboDamage,Combo Weapon Damage,Danno da combo dell'arma
/Scaling_ComboDamage_Heavy,,Scaling_ComboDamage_Heavy,Heavy Attack Combo Weapon Damage,Danno combo attacco pesante dell'arma
/Scaling_ComboDamage_Light,,Scaling_ComboDamage_Light,Light  Attack Combo Weapon Damage,Danno combo attacco leggero dell'arma
/Scaling_HoldDamage,,Scaling_HoldDamage,Charged Weapon Damage,Danno attacco caricato dell'arma
/Scaling_HoldDamage_Heavy,,Scaling_HoldDamage_Heavy,Charged Heavy Attack Weapon Damage,Danno attacco pesante caricato dell'arma
/Scaling_HoldDamage_Light,,Scaling_HoldDamage_Light,Charged Light Attack Weapon Damage,Danno attacco leggero caricato dell'arma
/Scaling_WeaponDamage_Axe,,Scaling_WeaponDamage_Axe,Axe Attack Weapon Damage,Danno dell'ascia
/Scaling_WeaponDamage_Heavy,,Scaling_WeaponDamage_Heavy,Heavy Attack Weapon Damage,Danno attacco pesante dell'arma
/Scaling_WeaponDamage_Light,,Scaling_WeaponDamage_Light,Light Attack Weapon Damage,Danno attacco leggero dell'arma
/Scaling_WeaponDamage_Melee,,Scaling_WeaponDamage_Melee,Melee Weapon Damage,Danno da mischia dell'arma
/Scaling_WeaponDamage_Sword,,Scaling_WeaponDamage_Sword,Sword Attack Weapon Damage,Danno della spada
/Settings_Close_Body,,Settings_Close_Body,"You have modified settings.
Do you want to apply or ignore changes?",Hai modificato le impostazioni.\nVuoi applicare o ignorare le modifiche?
/Settings_Close_Header,,Settings_Close_Header,Close Settings,Chiudi impostazioni
/Settings_ResetCategory_Body,,Settings_ResetCategory_Body,Do you want to reset this category to default?,Vuoi ripristinare i valori predefiniti per questa categoria?
/Settings_ResetCategory_Header,,Settings_ResetCategory_Header,Reset this Category,Ripristina categoria
/Settings_Reset_Body,,Settings_Reset_Body,Do you want to reset these settings to default?,Vuoi ripristinare le impostazioni predefinite?
/Settings_Reset_Header,,Settings_Reset_Header,Reset Settings,Ripristina impostazioni
/SkillPoints,,SkillPoints,Skill Points,Punti abilità
/SkillPoints_Available,,SkillPoints_Available,Available Skill Points,Punti abilità disponibili
/SkillPoints_FullResets,,SkillPoints_FullResets,Full Reset Points,Punti ripristino totale
/SkillPoints_Invested,,SkillPoints_Invested,Invested Skill Points,Punti abilità investiti
/SkillTree_Efficiency_Node,,SkillTree_Efficiency_Node,Efficiency of Nodes,Efficacia dei nodi
/SkillTree_Efficiency_Node_Minor,,SkillTree_Efficiency_Node_Minor,Efficiency of Minor Nodes,Efficacia dei nodi minori
/SkillTree_Efficiency_Node_Minor_AttackSpeed,,SkillTree_Efficiency_Node_Minor_AttackSpeed,Efficiency of Minor Attack Speed Nodes,Efficacia dei nodi minori: Velocità d'attacco
/SkillTree_Efficiency_Node_Minor_Health,,SkillTree_Efficiency_Node_Minor_Health,Efficiency of Minor Health Nodes,Efficacia dei nodi minori: Salute
/SkillTree_Efficiency_Node_Minor_Mana,,SkillTree_Efficiency_Node_Minor_Mana,Efficiency of Minor Mana Nodes,Efficacia dei nodi minori: Mana
